epoch,accuracy,loss,val_accuracy,val_loss
0,0.27541959285736084,3.4529616832733154,0.6676587462425232,1.7731103897094727
1,0.6190707683563232,1.6257078647613525,0.7559523582458496,1.0018329620361328
2,0.6893091797828674,1.1967930793762207,0.7792658805847168,0.8121877908706665
3,0.7109584212303162,1.0602363348007202,0.7934027910232544,0.7403721213340759
4,0.7226343750953674,0.971378743648529,0.7971230149269104,0.7038180232048035
5,0.7384456396102905,0.9179126024246216,0.795634925365448,0.6829345226287842
6,0.744709312915802,0.8874990940093994,0.8003472089767456,0.6677104234695435
7,0.7430673837661743,0.8732172846794128,0.8025793433189392,0.6555772423744202
8,0.7528581619262695,0.8412266969680786,0.8003472089767456,0.6507828235626221
9,0.7582097053527832,0.818332850933075,0.799355149269104,0.6519944667816162
10,0.7557163834571838,0.8127451539039612,0.8048115372657776,0.6464206576347351
11,0.7590002417564392,0.7959376573562622,0.80629962682724,0.6392839550971985
12,0.7686086297035217,0.7693222761154175,0.8055555820465088,0.638599157333374
13,0.7703721523284912,0.764985203742981,0.8092758059501648,0.6315013766288757
14,0.7743249535560608,0.7477202415466309,0.8082837462425232,0.6361286044120789
15,0.7727438807487488,0.7489053606987,0.8092758059501648,0.6377443075180054
16,0.7762709856033325,0.7398961186408997,0.8055555820465088,0.6326735615730286
